"specimen","species","country","region","habitat","general_habitat","habit","general_habit","recorder","lemma_papillae_simple","lemma_papillae_bifurcated","lemma_papillae_branch","lemma_prickle","lemma_bicellular","lemma_macro","lemma_rondel","lemma_cross","lemma_bilobate_vertical","lemma_bilobate_horizontal","lemma_saddle","lemma_vertical_elongated","lemma_horizontal_elongated","lemma_reniform_vertical","lemma_reniform_horizontal","lemma_stomata","lemma_stomata_freq","lemma_subsidiary_triangular","lemma_subsidiary_dome","lemma_subsidiary_parallel","palea_papillae_simple","palea_papillae_bifurcated","palea_papillae_branch","palea_margin_prickle","palea_margin_bicellular","palea_margin_macro","palea_sulcus_prickle","palea_sulcus_bicellular","palea_sulcus_macro","palea_rondel","palea_cross","palea_bilobate_vertical","palea_bilobate_horizontal","palea_saddle","palea_vertical_elongated","palea_horizontal_elongated","palea_reniform_vertical","palea_reniform_horizontal","palea_stomata","palea_stomata_freq","palea_subsidiary_triangular","palea_subsidiary_dome","palea_subsidiary_parallel"
"g_paniculata_clark_et_al_464","g_paniculata","mexico","mexico","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","1","1","0","1","0","0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1","0","1","1","0","0","0","0","1","0","1","0","1","0","1","1","0"
"g_paniculata_croat_and_hannon_63852","g_paniculata","honduras","central_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","1","0"
"g_paniculata_killeen_2807","g_paniculata","bolivia","eastern_south_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","0","1","0","1","0","1","0","1","1","0"
"g_paniculata_pohl_and_pinette_13239","g_paniculata","costa rica","central_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","0","1","0","1","0","0","1","0","1","0","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","0","0","0","0","1","0","0","0","1","0","1","1","1"
"g_paniculata_stevens_and_montiel_21482","g_paniculata","nicaragua","central_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","0","1","0","0","0","0","1","0","0","0","1","0","1","1","0","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","1","0"
"g_paniculata_weatherwax_155","g_paniculata","guatemala","central_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","0","1","0","0","0","0","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","1","1","1","0","1"
"g_paraguayana_calderon_and_soderstrom_2355","g_paraguayana","brazil","eastern_south_america","forest","general_forest","big_erect","erect_or_climbing","ekm","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","1","0","0","1","1","0","1","1"
"g_paraguayana_rojas_3542","g_paraguayana","paraguay","eastern_south_america","forest","general_forest","big_erect","erect_or_climbing","ekm","1","0","0","1","0","1","1","1","0","1","0","0","0","1","1","1","1","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","1","0","1","1","1","0","1","1","0","1","0"
"g_refracta_hatschbach_and_cervi_52445","g_refracta","brazil","eastern_south_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","1","0"
"g_sarcocarpa_acevedo_rodriguez_8609","g_sarcocarpa","peru","andes","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","1","1","0","1","1","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","x","x","x","x"
"g_sarcocarpa_nunez_et_al_23861","g_sarcocarpa","peru","andes","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","x","x","x","x"
"g_superba_calderon_and_soderstrom_2340","g_superba","brazil","eastern_south_america","river","general_forest","big_erect","erect_or_climbing","ekm","1","1","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","1","0","1","0","1","0","1","1","0"
"g_superba_londono_and_guedes_760","g_superba","brazil","eastern_south_america","river","general_forest","big_erect","erect_or_climbing","ekm","1","1","1","1","0","1","0","0","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","1","0","1","1","1","1","0","1","1","0","1","0","1","0","0","1","1"
"g_superba_revilla_2294","g_superba","peru","andes","river","general_forest","big_erect","erect_or_climbing","ekm","1","1","1","1","1","1","1","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","1","0","1","0","1","1","0","1","0"
"g_superba_soderstrom_1422","g_superba","colombia","andes","river","general_forest","big_erect","erect_or_climbing","ekm","1","1","1","1","0","1","1","1","0","1","0","0","1","0","1","1","1","1","1","0","0","0","0","0","1","0","1","1","1","1","1","0","1","0","1","0","0","0","1","1","0","1","0"
"g_tagoara_hatschbach_33640","g_tagoara","brazil","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0"
"g_tagoara_lima_et_al_3581","g_tagoara","brazil","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","1","1","1","1","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0"
"g_tagoara_mcclure_21285","g_tagoara","brazil","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","jac","0","0","0","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","1","1","0","0","1","0","0","1","0","0","0","x","x","x","x"
"g_tagoara_zuloaga_et_al_2344","g_tagoara","brazil","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","1","1","1","1","1","1","0","0","0","0","1","0","1","1","1","1","1","0"
"g_trinii_clark_and_oliveira_912","g_trinii","brazil","eastern_south_america","forest","general_forest","small_arching","small_arching","jac","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","1","1","1","1","1","0","1","0","0","0","0","0","1","1","0","1","0"
"g_trinii_clark_and_oliveira_914","g_trinii","brazil","eastern_south_america","forest","general_forest","small_arching","small_arching","jac","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","1","0","1","1","0","0","0","0","0","1","0","0","0","1"
"g_trinii_dias_sn","g_trinii","brazil","eastern_south_america","forest","general_forest","small_arching","small_arching","jac","0","0","0","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","1","0","0","0","0","1","1","0","1","1","1","1","1","0","1","0","0","0","0","0","1","1","0","1","1"
"g_trinii_hatschbach_and_cervi_53238","g_trinii","brazil","eastern_south_america","forest","general_forest","small_arching","small_arching","ekm","1","1","0","0","0","0","1","1","0","1","0","0","0","0","1","1","1","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","1","0","0","0","0","0","1","1","1","1","1"
"g_trinii_smith_et_al_9289","g_trinii","brazil","eastern_south_america","forest","general_forest","small_arching","small_arching","jac","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","1","1","1","0","0","0","1","0","0","1","1","1","0","0","0","1","0","0","0","1","0","1","0","1","0","1"
"g_uncinata_mcclure_21364","g_uncinata","ecuador","andes","forest","general_forest","big_erect","erect_or_climbing","jac","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0"
"g_velutina_hiramatsu_sn","g_velutina","mexico","mexico","river","general_forest","big_erect","erect_or_climbing","ekm","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","1","0","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","1","0"
"g_velutina_santos_3301","g_velutina","mexico","mexico","river","general_forest","big_erect","erect_or_climbing","ekm","1","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","0","0","1","0","1","0","1","1","1","1","0","1","0"
"g_venezuelae_chase_12564","g_venezuelae","venezuela","eastern_south_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","1","1","0","0","0","1","1","0","0","0","1","0","0","1","0","1","1","1","1","0","1","1","0","1","1","0","0","0","1","1","0","1","0","1","1","0","1","0"
"g_venezuelae_davidse_and_gonzales_16632","g_venezuelae","venezuela","eastern_south_america","savanna","savanna","small_arching","small_arching","jac","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","0","0","0","0","0","0","1","0","1","1","0","0","1"
"g_venezuelae_davidse_and_huber_22496","g_venezuelae","venezuela","eastern_south_america","savanna","savanna","small_arching","small_arching","jac","1","1","1","1","1","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","0","1","0","0","0","0","1","0","1","1","0","0","1"
"g_venezuelae_liesner_23875","g_venezuelae","venezuela","eastern_south_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","1","1","0","0","0","1","0","0","0","0","1","0","0","1","0","1","1","0","1","1","1","1","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0"
"g_venezuelae_maguire_and_maguire_40221","g_venezuelae","brazil","eastern_south_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","1","1","0","1","0","1","0","0","1","0","1","0","0","1","0","1","1","0","1","1","1","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","1","1"
"g_venezuelae_plowman_7788","g_venezuelae","venezuela","eastern_south_america","savanna","savanna","small_arching","small_arching","ekm","1","1","1","1","1","1","1","1","0","0","0","1","0","1","0","1","0","0","1","0","1","1","1","0","1","1","0","1","1","1","0","0","0","1","1","0","1","0","1","1","1","0","0"
"g_weberbaueri_gentry_43256","g_weberbaueri","peru","andes","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","1","1","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","1","0","1","0","0","x","x","x","x"
"g_weberbaueri_hanson_sn","g_weberbaueri","bolivia","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","jac","0","0","0","1","1","1","1","0","0","1","0","0","0","0","1","1","0","1","1","1","0","0","0","1","1","0","1","1","1","1","1","0","1","0","0","0","0","0","1","1","1","1","0"
"g_weberbaueri_londono_13","g_weberbaueri","peru","andes","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","1","1","1","1","0","0","1","0","1","0","1","0","1","0","0","1","1","0","0","0","1","1","0","1","1","1","1","0","0","1","0","1","0","0","0","0","x","x","x","x"
"g_weberbaueri_nelson_6026","g_weberbaueri","brazil","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","1","1","0","1","1","1","1","1","0","0","1","0","1","0","0","1","0","0","0","0","1","0","0","1","1","1","1","1","0","1","0","1","0","1","0","0","x","x","x","x"
"g_weberbaueri_seibert_2068","g_weberbaueri","peru","andes","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","1","1","1","1","0","1","1","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","1","1","0","1","1","1","0","0","0","1","0","1","1","0","x","x","x","x"
"g_weberbaueri_stannard_451","g_weberbaueri","venezuela","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","0","0","0","1","1","0","0","1","1","1","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","1","1","0","1","0"
"unknown_g_aff_sarcocarpa_calderon_2282","g_aff_sarcocarpa","brazil","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1","1","0","1","1","0","0","0","0","1","1","0","1","1","1","1","0","1","0","1","1","0","1","0","1","1","1","1","1"
"unknown_g_aff_weberbaueri_renvoize_4671","g_aff_weberbaueri","bolivia","eastern_south_america","river","general_forest","leaning_climbing","erect_or_climbing","jac","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","1","0","1","0","0","1","0"
