Island,Site,Web #,Native,Netting,Start Date,End Date,Total Days,SpidPres,WebPres,WebSize(cm)
Saipan,LADT,I'D,no,yes,1-Aug,5-Aug,4,no,yes,46
Saipan,LADT,I'E,no,yes,1-Aug,6-Aug,5,no,no,48
Saipan,LADT,I'F,no,yes,1-Aug,7-Aug,8,no,no,55
Saipan,LADT,I'G,no,yes,1-Aug,7-Aug,8,no,no,66
Saipan,LADT,I'H,yes,no,2-Aug,4-Aug,2,no,yes,51
Saipan,LADT,I'I,yes,no,3-Aug,4-Aug,1,no,yes,48
Saipan,LADT,I'J,yes,no,3-Aug,5-Aug,2,no,yes,51
Saipan,forbi,I'K,yes,no,4-Aug,5-Aug,1,no,yes,42
Saipan,Forbi,I'L,yes,no,5-Aug,6-Aug,1,no,yes,54
Guam,Anao,I'Q,no,no,7-Aug,14-Aug,7,yes,no,25
Guam,Anao,I'R,no,no,7-Aug,10-Aug,3,no,no,34
Guam,Anao,I'S,no,no,7-Aug,14-Aug,7,yes,no,57
Guam,Anao,I'T,no,no,7-Aug,10-Aug,3,no,no,63
Guam,Anao,I'U,no,no,7-Aug,12-Aug,5,no,no,32
Guam,Anao,I'V,no,no,7-Aug,12-Aug,5,no,no,70
Guam,Anao,I'W,no,yes,7-Aug,12-Aug,5,no,no,48
Guam,Anao,I'X,no,yes,7-Aug,10-Aug,3,no,yes,49
Gaum,Anao,I'Y,no,yes,7-Aug,11-Aug,4,no,no,47
Guam,Anao,I'Z,no,yes,7-Aug,14-Aug,7,yes,no,48
Guam,Anao,J'A,no,yes,7-Aug,10-Aug,3,no,no,51
Guam,Anao,J'B,no,yes,7-Aug,10-Aug,3,no,no,42
Guam,Anao,J'C,no,no,7-Aug,10-Aug,3,no,no,38
Guam,Nblas,J'D,no,no,7-Aug,11-Aug,4,no,yes,37
Guam,Nblas,J'E,no,no,7-Aug,12-Aug,5,no,no,76
Guam,Nblas,J'F,no,no,7-Aug,14-Aug,7,yes,no,56
Guam,Nblas,J'G,no,no,7-Aug,14-Aug,7,yes,no,67
Guam,Nblas,J'H,no,no,7-Aug,10-Aug,3,no,no,59
Guam,Nblas,J'I,no,yes,7-Aug,12-Aug,5,no,no,73
Guam,Nblas,J'J,no,yes,7-Aug,11-Aug,4,no,no,60
Guam,Nblas,J'K,no,yes,7-Aug,14-Aug,7,yes,no,63
Guam,Nblas,J'L,no,yes,7-Aug,12-Aug,5,no,no,53
Guam,Nblas,J'M,no,yes,7-Aug,10-Aug,3,no,yes,61
Guam,Nblas,J'N,no,yes,7-Aug,12-Aug,5,no,no,48
Guam,Nblas,J'O,no,yes,7-Aug,11-Aug,4,no,no,71
Guam,Nblas,Z',yes,no,24-Jun,1-Jul,7,yes,yes,47
Guam,Nblas,A'A,yes,no,24-Jun,29-Jun,5,yes,yes,77
Guam,Nblas,A'B,yes,no,24-Jun,29-Jun,5,yes,yes,47
Guam,Nblas,A'C,yes,no,24-Jun,28-Jun,4,yes,yes,62
Guam,Nblas,A'D,yes,no,24-Jun,30-Jun,6,yes,yes,58
Guam,Nblas,A'E,yes,no,24-Jun,1-Jul,7,no,no,56
Guam,Nblas,A'F,yes,no,24-Jun,28-Jun,4,no,no,67
Guam,Nblas,A'G,yes,no,24-Jun,29-Jun,5,yes,yes,51
Guam,Nblas,A'H,yes,no,24-Jun,26-Jun,2,no,no,43
Guam,Nblas,A'I,yes,no,24-Jun,28-Jun,4,no,no,66
Guam,Nblas,A'J,yes,no,24-Jun,30-Jun,6,no,no,58
Guam,Nblas,A'K,yes,no,24-Jun,29-Jun,5,no,no,39
Guam,Nblas,A'L,yes,no,24-Jun,30-Jun,6,no,no,56
Guam,Nblas,A'M,yes,no,24-Jun,28-Jun,4,no,yes,54
Guam,Nblas,A'N,yes,no,24-Jun,27-Jun,3,no,yes,53
Guam,Nblas,A'O,yes,no,24-Jun,30-Jun,6,no,no,70
Guam,NBlas,A'P,yes,no,24-Jun,25-Jun,1,no,no,58
